iteration,local_lower_bound,local_upper_bound,global_lower_bound,global_upper_bound,repeated_services,missed_services,
0,0.0,5000.0,0.0,5000.0,,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 100; ,
1,100.0,5000.0,100.0,5000.0,,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 100; ,
2,200.0,5000.0,200.0,5000.0,,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 100; ,
3,300.0,5000.0,300.0,5000.0,,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 100; ,
4,400.0,5000.0,400.0,5000.0,,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 100; ,
5,453.8394933291451,2884.6322510654463,453.8394933291451,2884.6322510654463,,12; 13; 14; 15; 16; 17; 18; 19; 31; 32; 33; 34; 35; 36; 37; 38; 39; 53; 54; 55; 56; 57; 58; 59; 60; 70; 71; 73; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 100; ,
6,506.8394933291451,2884.6322510654463,506.8394933291451,2884.6322510654463,,12; 13; 14; 15; 16; 17; 18; 19; 31; 32; 33; 34; 35; 36; 37; 38; 39; 53; 54; 55; 56; 57; 58; 59; 60; 70; 71; 73; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 100; ,
7,559.8394933291452,2884.6322510654463,559.8394933291452,2884.6322510654463,,12; 13; 14; 15; 16; 17; 18; 19; 31; 32; 33; 34; 35; 36; 37; 38; 39; 53; 54; 55; 56; 57; 58; 59; 60; 70; 71; 73; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 100; ,
8,612.8394933291452,2460.701816388334,612.8394933291452,2460.701816388334,,12; 13; 14; 15; 16; 17; 18; 19; 31; 32; 33; 34; 35; 36; 37; 38; 39; 53; 54; 55; 56; 57; 58; 59; 60; 70; 71; 73; 76; 77; 78; 79; 80; 81; 92; 93; 94; 95; 96; 97; 98; 99; 100; ,
9,655.8394933291452,2460.701816388334,655.8394933291452,2460.701816388334,,12; 13; 14; 15; 16; 17; 18; 19; 31; 32; 33; 34; 35; 36; 37; 38; 39; 53; 54; 55; 56; 57; 58; 59; 60; 70; 71; 73; 76; 77; 78; 79; 80; 81; 92; 93; 94; 95; 96; 97; 98; 99; 100; ,
