iteration,vehicle_id,path_node_seq,path_time_seq
0,0,100_100_,1_960_
0,1,100_100_,1_960_
0,2,100_100_,1_960_
0,3,100_100_,1_960_
0,4,100_100_,1_960_
0,5,100_100_,1_960_
0,6,100_100_,1_960_
0,7,100_100_,1_960_
0,8,100_100_,1_960_
0,9,100_100_,1_960_
0,10,100_100_,1_960_
0,11,100_100_,1_960_
0,12,100_100_,1_960_
0,13,100_100_,1_960_
0,14,100_100_,1_960_
1,0,100_100_,1_960_
1,1,100_100_,1_960_
1,2,100_100_,1_960_
1,3,100_100_,1_960_
1,4,100_100_,1_960_
1,5,100_100_,1_960_
1,6,100_100_,1_960_
1,7,100_100_,1_960_
1,8,100_100_,1_960_
1,9,100_100_,1_960_
1,10,100_100_,1_960_
1,11,100_100_,1_960_
1,12,100_100_,1_960_
1,13,100_100_,1_960_
1,14,100_100_,1_960_
2,0,100_100_,1_960_
2,1,100_100_,1_960_
2,2,100_100_,1_960_
2,3,100_100_,1_960_
2,4,100_100_,1_960_
2,5,100_100_,1_960_
2,6,100_100_,1_960_
2,7,100_100_,1_960_
2,8,100_100_,1_960_
2,9,100_100_,1_960_
2,10,100_100_,1_960_
2,11,100_100_,1_960_
2,12,100_100_,1_960_
2,13,100_100_,1_960_
2,14,100_100_,1_960_
3,0,100_100_,1_960_
3,1,100_100_,1_960_
3,2,100_100_,1_960_
3,3,100_100_,1_960_
3,4,100_100_,1_960_
3,5,100_100_,1_960_
3,6,100_100_,1_960_
3,7,100_100_,1_960_
3,8,100_100_,1_960_
3,9,100_100_,1_960_
3,10,100_100_,1_960_
3,11,100_100_,1_960_
3,12,100_100_,1_960_
3,13,100_100_,1_960_
3,14,100_100_,1_960_
4,0,4_4_4_58_58_30_30_81_81_85_85_97_97_10_10_82_82_46_46_90_90_100_100_,17_60_90_106_136_154_184_194_224_234_264_273_303_314_344_352_382_395_425_433_463_485_960_
4,1,100_100_,1_960_
4,2,100_100_,1_960_
4,3,100_100_,1_960_
4,4,100_100_,1_960_
4,5,100_100_,1_960_
4,6,100_100_,1_960_
4,7,100_100_,1_960_
4,8,100_100_,1_960_
4,9,100_100_,1_960_
4,10,100_100_,1_960_
4,11,100_100_,1_960_
4,12,100_100_,1_960_
4,13,100_100_,1_960_
4,14,100_100_,1_960_
5,0,4_4_4_7_7_45_45_40_40_85_85_97_97_10_10_82_82_46_46_90_90_100_100_,17_60_90_103_133_145_175_185_215_234_264_273_303_314_344_352_382_395_425_433_463_485_960_
5,1,100_100_,1_960_
5,2,100_100_,1_960_
5,3,100_100_,1_960_
5,4,100_100_,1_960_
5,5,100_100_,1_960_
5,6,100_100_,1_960_
5,7,100_100_,1_960_
5,8,100_100_,1_960_
5,9,100_100_,1_960_
5,10,100_100_,1_960_
5,11,100_100_,1_960_
5,12,100_100_,1_960_
5,13,100_100_,1_960_
5,14,100_100_,1_960_
6,0,4_4_4_58_58_30_30_81_81_85_85_97_97_10_10_82_82_46_46_90_90_100_100_,17_60_90_106_136_154_184_194_224_234_264_273_303_314_344_352_382_395_425_433_463_485_960_
6,1,100_100_,1_960_
6,2,100_100_,1_960_
6,3,100_100_,1_960_
6,4,100_100_,1_960_
6,5,100_100_,1_960_
6,6,100_100_,1_960_
6,7,100_100_,1_960_
6,8,100_100_,1_960_
6,9,100_100_,1_960_
6,10,100_100_,1_960_
6,11,100_100_,1_960_
6,12,100_100_,1_960_
6,13,100_100_,1_960_
6,14,100_100_,1_960_
7,0,4_4_4_7_7_45_45_40_40_85_85_97_97_10_10_82_82_46_46_90_90_100_100_,17_60_90_103_133_145_175_185_215_234_264_273_303_314_344_352_382_395_425_433_463_485_960_
7,1,100_100_,1_960_
7,2,100_100_,1_960_
7,3,100_100_,1_960_
7,4,100_100_,1_960_
7,5,100_100_,1_960_
7,6,100_100_,1_960_
7,7,100_100_,1_960_
7,8,100_100_,1_960_
7,9,100_100_,1_960_
7,10,100_100_,1_960_
7,11,100_100_,1_960_
7,12,100_100_,1_960_
7,13,100_100_,1_960_
7,14,100_100_,1_960_
8,0,4_4_4_58_58_30_30_81_81_85_85_97_97_10_10_82_82_46_46_90_90_100_100_,17_60_90_106_136_154_184_194_224_234_264_273_303_314_344_352_382_395_425_433_463_485_960_
8,1,100_100_,1_960_
8,2,100_100_,1_960_
8,3,100_100_,1_960_
8,4,100_100_,1_960_
8,5,100_100_,1_960_
8,6,100_100_,1_960_
8,7,100_100_,1_960_
8,8,100_100_,1_960_
8,9,100_100_,1_960_
8,10,100_100_,1_960_
8,11,100_100_,1_960_
8,12,100_100_,1_960_
8,13,100_100_,1_960_
8,14,100_100_,1_960_
9,0,4_4_4_7_7_45_45_40_40_85_85_97_97_10_10_82_82_46_46_90_90_100_100_,17_60_90_103_133_145_175_185_215_234_264_273_303_314_344_352_382_395_425_433_463_485_960_
9,1,57_57_57_54_54_17_17_9_9_40_40_2_2_2_11_11_27_27_28_28_100_100_,13_90_120_136_166_174_204_216_246_262_292_300_330_360_370_400_408_438_448_478_504_960_
9,2,100_100_,1_960_
9,3,100_100_,1_960_
9,4,100_100_,1_960_
9,5,100_100_,1_960_
9,6,100_100_,1_960_
9,7,100_100_,1_960_
9,8,100_100_,1_960_
9,9,100_100_,1_960_
9,10,100_100_,1_960_
9,11,100_100_,1_960_
9,12,100_100_,1_960_
9,13,100_100_,1_960_
9,14,100_100_,1_960_
10,0,4_4_4_58_58_30_30_81_81_85_85_97_97_10_10_82_82_46_46_90_90_100_100_,17_60_90_106_136_154_184_194_224_234_264_273_303_314_344_352_382_395_425_433_463_485_960_
10,1,57_57_57_54_54_17_17_9_9_40_40_2_2_2_11_11_27_27_28_28_100_100_,13_90_120_136_166_174_204_216_246_262_292_300_330_360_370_400_408_438_448_478_504_960_
10,2,100_100_,1_960_
10,3,100_100_,1_960_
10,4,100_100_,1_960_
10,5,100_100_,1_960_
10,6,100_100_,1_960_
10,7,100_100_,1_960_
10,8,100_100_,1_960_
10,9,100_100_,1_960_
10,10,100_100_,1_960_
10,11,100_100_,1_960_
10,12,100_100_,1_960_
10,13,100_100_,1_960_
10,14,100_100_,1_960_
11,0,4_4_4_58_58_30_30_81_81_85_85_97_97_10_10_82_82_46_46_90_90_100_100_,17_60_90_106_136_154_184_194_224_234_264_273_303_314_344_352_382_395_425_433_463_485_960_
11,1,57_57_57_54_54_17_17_9_9_40_40_2_2_2_11_11_27_27_28_28_100_100_,13_90_120_136_166_174_204_216_246_262_292_300_330_360_370_400_408_438_448_478_504_960_
